decibeles,minutosPartido
"85,80",69:20
"86,80",69:21
"89,80",69:22
"82,80",69:23
"80,80",69:24
"81,50",69:25
"83,40",69:26
"82,30",69:27
"84,10",69:28
"83,10",69:29
"78,00",69:30
"79,30",69:31
"80,50",69:32
"84,70",69:33
"84,00",69:34
"82,20",69:35
"80,40",69:36
"81,60",69:37
"87,60",69:38
"84,90",69:39
"85,00",69:40
"80,40",69:41
"80,00",69:42
"86,50",69:43
"83,20",69:45
"84,80",69:45
"85,00",69:46
"80,40",69:47
"84,10",69:48
"85,20",69:49
"83,50",69:50
"82,60",69:51
"84,20",69:52
"82,50",69:54
"83,70",69:54
"85,40",69:55
"83,80",69:56
"84,90",69:57
"85,50",69:58
"87,50",69:59
"88,00",70:00
"84,50",70:01
"79,40",70:02
"77,60",70:03
"85,90",70:04
"86,20",70:05
"85,80",70:06
"82,90",70:07
"82,20",70:08
"83,70",70:09
"75,60",70:10
"84,30",70:11
"84,70",70:12
"85,90",70:13
"85,60",70:14
"84,30",70:15
"90,40",70:16
"91,90",70:17
"89,10",70:18
"90,60",70:19
"97,00",70:20
"88,50",70:21
"88,20",70:22
"86,20",70:23
"87,60",70:24
"85,40",70:25
"86,50",70:26
"85,80",70:27
"85,90",70:28
"87,80",70:30
"91,30",70:30
"92,40",70:31
"86,80",70:32
"88,30",70:33
"84,00",70:34
"84,90",70:35
"84,00",70:36
"84,20",70:37
"83,70",70:39
"84,30",70:39
"85,60",70:40
"82,40",70:41
"85,60",70:42
"83,10",70:43
"82,10",70:44
